replicate,scenario,geometry,habitat_patches,graph_nodes,graph_edges,total_corridor_length,failed_edges,final_persistent_species,long_run_persistent_species,recent_persistent_species,persistent_species_per_length,final_mean_occupancy,recent_evenness,recent_regional_total,recent_regional_total_cv,recent_relative_trend_per_1000_steps,quasi_stationary_flag,species_extinctions,mean_extinction_step
8.000000,benign_long_run,minimum_spanning_tree,50.000000,50.000000,49.000000,3.867198,0.000000,12.000000,12.000000,12.000000,3.103022,0.488333,0.900930,9950.227692,0.000000,0.000000,1.000000,0.000000,
8.000000,benign_long_run,dendritic_tree,50.000000,85.000000,84.000000,6.740695,0.000000,12.000000,12.000000,12.000000,1.780232,0.481667,0.903629,9993.707830,0.000000,0.000000,1.000000,0.000000,
8.000000,benign_long_run,hybrid_dendritic,50.000000,85.000000,90.000000,7.379744,0.000000,12.000000,12.000000,12.000000,1.626073,0.498333,0.903478,9990.752038,0.000000,0.000000,1.000000,0.000000,
8.000000,costly_movement,nearest_web,50.000000,50.000000,100.000000,9.530345,0.000000,12.000000,12.000000,12.000000,1.259136,0.495000,0.899624,9872.311548,0.000000,0.000000,1.000000,0.000000,
8.000000,costly_movement,minimum_spanning_tree,50.000000,50.000000,49.000000,3.867198,0.000000,12.000000,12.000000,12.000000,3.103022,0.486667,0.901037,9889.426305,0.000000,0.000000,1.000000,0.000000,
8.000000,costly_movement,dendritic_tree,50.000000,85.000000,84.000000,6.740695,0.000000,12.000000,12.000000,12.000000,1.780232,0.471667,0.903615,9910.476755,0.000000,0.000000,1.000000,0.000000,
8.000000,costly_movement,hybrid_dendritic,50.000000,85.000000,90.000000,7.379744,0.000000,12.000000,12.000000,12.000000,1.626073,0.491667,0.903608,9912.357771,0.000000,0.000000,1.000000,0.000000,
8.000000,edge_disturbance,nearest_web,50.000000,50.000000,100.000000,9.530345,0.000000,12.000000,12.000000,12.000000,1.259136,0.495000,0.899640,9901.243631,0.000000,0.000000,1.000000,0.000000,
8.000000,edge_disturbance,minimum_spanning_tree,50.000000,50.000000,49.000000,3.867198,0.000000,12.000000,12.000000,12.000000,3.103022,0.486667,0.900994,9915.897319,0.000000,0.000000,1.000000,0.000000,
8.000000,edge_disturbance,dendritic_tree,50.000000,85.000000,84.000000,6.740695,0.000000,12.000000,12.000000,12.000000,1.780232,0.473333,0.903656,9946.295201,0.000000,0.000000,1.000000,0.000000,
8.000000,edge_disturbance,hybrid_dendritic,50.000000,85.000000,90.000000,7.379744,0.000000,12.000000,12.000000,12.000000,1.626073,0.495000,0.903595,9946.849450,0.000000,0.000000,1.000000,0.000000,
9.000000,benign_long_run,nearest_web,50.000000,50.000000,99.000000,9.739738,0.000000,11.000000,11.000000,11.000000,1.129394,0.498333,0.850836,9949.181391,0.000000,0.000000,1.000000,1.000000,719.000000
9.000000,benign_long_run,minimum_spanning_tree,50.000000,50.000000,49.000000,3.826110,0.000000,11.000000,11.000000,11.000000,2.874982,0.496667,0.850862,9935.767813,0.000000,0.000000,1.000000,1.000000,679.000000
9.000000,benign_long_run,dendritic_tree,50.000000,85.000000,84.000000,7.540764,0.000000,11.000000,11.000000,11.000000,1.458738,0.490000,0.849365,9926.841441,0.000000,-0.000000,1.000000,1.000000,828.000000
9.000000,benign_long_run,hybrid_dendritic,50.000000,85.000000,90.000000,8.123013,0.000000,11.000000,11.000000,11.000000,1.354177,0.495000,0.850325,9934.558759,0.000000,-0.000000,1.000000,1.000000,851.000000
9.000000,costly_movement,nearest_web,50.000000,50.000000,99.000000,9.739738,0.000000,11.000000,11.000000,11.000000,1.129394,0.496667,0.852698,9858.401380,0.000000,0.000000,1.000000,1.000000,764.000000
